rho,r_star_pct,K_eq,liquidity_premium_pp,agg_MPC,Gini_wealth,pct_constrained
0.0,4.102246602376305,5.491792315629654,0.06442006429036515,0.053572990605086565,0.511296690552846,0.19154530552637578
0.3,4.063353220621748,5.519378058013846,0.10331344604492254,0.05597742432002214,0.47361431718754177,0.22873425258706162
0.6,3.9847310384114625,5.577280209080039,0.181935628255208,0.061397832314647835,0.45434342970098784,0.4906061539741502
0.9,3.790165503819787,5.720305508959602,0.37650116284688384,0.08927182577103629,0.5163896231322362,2.9145033818426493
